State,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,MMR,IMR,GDP_PC,Poor_GDP_PC,Total Number of reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres
Chhattisgarh,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,96.72,97.84,12.28,92.4,117.5,66.91,123.56,154.27,20.34,101731.0,1.0,472255.0,515094.0,7737.0,636.0,647545.0,2241.0,5526.0,824.0,237.0,143.0,33.0,6654.0
Dadra & Nagar Haveli,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,99.6,98.3,36.9,103.1,106.3,100.6,89.0,108.05,27.88,114958.0,0.0,9255.0,4292.0,258.0,10.0,8362.0,14.0,71.0,9.0,3.0,1.0,1.0,85.0
Dadra & Nagar Haveli,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,99.5,98.2,34.9,98.9,98.0,83.9,92.8,110.62,27.65,126406.0,0.0,9040.0,7465.0,250.0,10.0,8394.0,22.0,71.0,9.0,3.0,1.0,1.0,85.0
Dadra & Nagar Haveli,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,99.6,98.1,35.0,94.6,98.7,90.5,88.7,67.6,25.57,134432.0,0.0,8876.0,7340.0,227.0,6.0,7882.0,138.0,71.0,9.0,3.0,1.0,1.0,85.0
Daman & Diu,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,99.75,99.55,15.85,130.45,123.8,119.6,126.05,103.1,7.38,114958.0,0.0,3583.0,2061.0,35.0,1.0,7888.0,12.0,26.0,4.0,4.0,4.0,2.0,36.0
Daman & Diu,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,99.85,99.3,21.55,113.95,125.45,102.8,133.3,15.48,11.4,126406.0,0.0,3861.0,4127.0,53.0,1.0,6555.0,14.0,26.0,4.0,4.0,4.0,2.0,36.0
Daman & Diu,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,100.0,98.95,17.5,98.3,123.75,97.05,118.35,0.0,9.57,134432.0,0.0,3744.0,4013.0,33.0,0.0,5968.0,54.0,26.0,4.0,4.0,4.0,2.0,36.0
Delhi,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,92.39,98.49,18.9,88.55,119.61,83.95,174.4,135.58,15.4,328985.0,0.0,267828.0,5197.0,4958.0,517.0,982022.0,22.0,590.0,549.0,595.0,120.0,91.0,1929.0
Delhi,2018.0,0.0,0.0,1.0,0.0,0.0,0.0,92.8,98.54,20.16,88.44,110.27,81.54,151.28,149.16,16.15,365529.0,0.0,282190.0,15137.0,5059.0,572.0,931041.0,22.0,612.0,556.0,578.0,117.0,91.0,1938.0
Delhi,2019.0,0.0,0.0,0.0,1.0,0.0,0.0,93.23,98.54,21.65,89.5,109.53,84.45,161.4,152.41,17.55,383805.0,0.0,261647.0,252952.0,4328.0,454.0,668596.0,2365.0,613.0,557.0,578.0,117.0,91.0,1940.0
Goa,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,99.9,99.2,15.45,88.7,94.8,74.15,118.55,83.6,5.66,422155.0,0.0,18883.0,345.0,108.0,16.0,24503.0,70.0,216.0,45.0,8.0,6.0,3.0,274.0
Goa,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,99.8,99.1,15.85,95.0,102.3,83.75,113.0,66.49,8.48,458304.0,0.0,17962.0,262.0,153.0,12.0,26896.0,114.0,218.0,42.0,12.0,10.0,3.0,277.0
Goa,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,99.9,99.15,17.05,95.35,98.1,88.05,112.3,38.4,6.03,481219.0,0.0,18055.0,123.0,110.0,7.0,29993.0,282.0,218.0,42.0,12.0,10.0,3.0,277.0
Gujarat,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,97.87,98.86,13.98,93.23,106.64,65.98,97.5,90.93,22.6,173079.0,0.0,1256711.0,2842.0,23230.0,976.0,1420598.0,2277.0,9267.0,1856.0,2693.0,568.0,46.0,13912.0
Gujarat,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,98.73,98.89,13.72,97.43,109.25,80.97,110.0,81.27,17.96,197446.0,0.0,1137636.0,512753.0,19181.0,919.0,1349576.0,3102.0,9257.0,1879.0,2721.0,593.0,47.0,13951.0
Gujarat,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,99.05,98.85,15.52,105.15,116.69,89.04,107.43,83.46,17.55,207319.0,0.0,1067811.0,950447.0,17520.0,921.0,1281558.0,5214.0,9255.0,1884.0,2710.0,586.0,47.0,13944.0
Haryana,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,95.97,98.64,8.47,93.72,109.68,70.12,109.1,103.24,10.18,211525.0,0.0,516722.0,2991.0,4931.0,416.0,567940.0,704.0,2798.0,622.0,161.0,71.0,29.0,3632.0
Haryana,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,96.66,98.6,14.86,91.4,109.0,65.55,106.83,120.74,20.08,236146.0,0.0,499852.0,336793.0,10455.0,604.0,591130.0,1034.0,2664.0,526.0,164.0,75.0,29.0,3405.0
Haryana,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,97.12,98.73,11.87,87.82,107.24,69.8,108.02,142.61,23.43,264206.0,0.0,480938.0,448325.0,11925.0,715.0,561992.0,2904.0,2664.0,526.0,164.0,75.0,29.0,3405.0
Himachal Pradesh,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,87.43,98.76,11.31,86.76,105.23,81.55,132.83,58.91,11.23,167044.0,0.0,87049.0,49190.0,1124.0,56.0,118864.0,720.0,2139.0,516.0,79.0,76.0,15.0,2825.0
Himachal Pradesh,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,88.43,98.72,12.71,88.51,104.03,84.12,144.11,80.76,13.86,179187.0,0.0,86872.0,98195.0,1465.0,79.0,112583.0,792.0,2172.0,582.0,95.0,97.0,16.0,2962.0
Himachal Pradesh,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,90.7,98.84,12.29,88.31,105.34,84.01,176.72,60.35,16.75,195255.0,0.0,79938.0,87713.0,1254.0,51.0,100628.0,1668.0,2173.0,582.0,95.0,97.0,16.0,2963.0
Jammu & Kashmir,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,91.43,98.61,4.8,101.19,113.15,93.63,167.18,67.46,8.12,82709.0,1.0,190694.0,106.0,1426.0,112.0,399307.0,1518.0,2754.0,711.0,127.0,127.0,30.0,3622.0
Jammu & Kashmir,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,92.37,98.72,4.81,100.82,110.36,89.35,177.45,48.16,7.59,91882.0,1.0,195931.0,80461.0,2143.0,79.0,395092.0,2024.0,2755.0,711.0,127.0,127.0,30.0,3623.0
Jammu & Kashmir,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,92.71,98.74,4.62,100.25,110.34,89.92,189.76,70.55,8.17,96476.0,1.0,180345.0,209041.0,1628.0,78.0,347724.0,3498.0,2794.0,711.0,127.0,127.0,30.0,3662.0
Jharkhand,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,95.37,98.67,7.42,66.98,105.08,46.65,107.49,132.18,6.26,69264.0,1.0,759132.0,0.0,4022.0,904.0,959918.0,1056.0,3927.0,372.0,305.0,171.0,24.0,4643.0
Jharkhand,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,95.4,98.67,7.65,63.55,106.3,50.07,94.1,116.95,6.74,76018.0,1.0,732000.0,371947.0,4480.0,757.0,940941.0,1776.0,3929.0,362.0,305.0,171.0,24.0,4635.0
Jharkhand,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,95.97,98.66,7.61,75.27,109.7,56.88,113.42,140.26,7.91,79820.0,1.0,659854.0,599894.0,4791.0,795.0,875389.0,2472.0,3929.0,361.0,305.0,171.0,24.0,4634.0
Karnataka,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,99.71,99.02,10.31,95.36,110.2,86.67,120.76,75.84,12.48,187649.0,0.0,915244.0,944919.0,12024.0,788.0,1097374.0,2850.0,9438.0,2542.0,260.0,399.0,50.0,12628.0
Karnataka,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,99.85,99.14,10.18,95.05,110.54,85.22,117.45,66.46,11.12,210886.0,0.0,907525.0,985531.0,10669.0,657.0,1140111.0,3420.0,9440.0,2538.0,261.0,414.0,70.0,12662.0
Karnataka,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,99.88,99.07,11.34,94.52,109.57,86.57,121.83,77.15,11.44,221431.0,0.0,878718.0,952571.0,9772.0,699.0,1168541.0,6120.0,9440.0,2538.0,261.0,414.0,70.0,12662.0
Kerala,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,99.76,99.6,11.57,100.09,103.74,71.19,111.94,59.62,5.26,183435.0,0.0,492964.0,86927.0,2665.0,258.0,565673.0,2226.0,5836.0,946.0,230.0,347.0,54.0,7413.0
Kerala,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,99.82,99.61,11.5,95.59,99.14,71.69,102.17,24.78,3.31,204105.0,0.0,487790.0,25264.0,1765.0,150.0,504654.0,2464.0,5837.0,947.0,230.0,347.0,55.0,7416.0
Kerala,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,99.89,99.65,11.89,94.86,99.09,75.93,109.66,42.2,3.1,214310.0,0.0,435169.0,200372.0,1477.0,174.0,494461.0,3878.0,5837.0,947.0,230.0,347.0,55.0,7416.0
Lakshadweep,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,98.8,7.4,100.4,101.6,98.8,127.0,0.0,17.92,114958.0,0.0,837.0,930.0,15.0,0.0,1292.0,22.0,15.0,4.0,3.0,2.0,1.0,25.0
Lakshadweep,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,100.0,98.8,7.3,96.8,99.9,93.9,119.2,0.0,12.96,126406.0,0.0,849.0,846.0,11.0,0.0,1266.0,31.0,15.0,4.0,3.0,2.0,1.0,25.0
Lakshadweep,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,99.9,99.4,9.9,105.1,102.4,103.7,120.6,385.6,6.43,134432.0,0.0,778.0,826.0,5.0,3.0,1173.0,78.0,15.0,4.0,3.0,2.0,1.0,25.0
Madhya Pradesh,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,92.57,98.3,14.42,88.51,100.75,83.47,113.95,144.79,23.31,82941.0,1.0,1336337.0,482.0,28802.0,1886.0,1832836.0,1938.0,11532.0,1419.0,380.0,185.0,51.0,13466.0
